Name,Date,Time,Weektime,Tradetime_Dum,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
黄金吧,2020/5/25,0:00-9:00,星期一,0,45,11,9,25,40819,55
黄金吧,2020/5/25,9:00-15:00,星期一,1,117,29,10,78,61030,115
黄金吧,2020/5/26,15:00-9:00,星期二,0,249,69,39,141,87325,251
黄金吧,2020/5/26,9:00-15:00,星期二,1,134,41,20,73,65335,108
黄金吧,2020/5/27,15:00-9:00,星期三,0,274,52,49,173,70594,188
黄金吧,2020/5/27,9:00-15:00,星期三,1,116,30,22,64,40558,76
黄金吧,2020/5/28,15:00-9:00,星期四,0,342,77,65,200,83686,289
黄金吧,2020/5/28,9:00-15:00,星期四,1,143,45,12,86,45809,105
黄金吧,2020/5/29,15:00-9:00,星期五,0,245,64,25,156,62599,209
黄金吧,2020/5/29,9:00-15:00,星期五,1,72,20,5,47,40222,69
黄金吧,2020/5/29,15:00-24:00,星期五,0,174,61,31,82,32925,139
黄金吧,2020/5/30,0:00-24:00,星期六,0,32,17,2,13,13402,51
黄金吧,2020/5/31,0:00-24:00,星期日,0,22,8,4,10,9306,30
黄金吧,2020/6/1,0:00-9:00,星期一,0,29,8,3,18,14838,57
黄金吧,2020/6/1,9:00-15:00,星期一,1,83,27,7,49,21237,102
黄金吧,2020/6/2,15:00-9:00,星期二,0,241,60,39,142,55285,241
黄金吧,2020/6/2,9:00-15:00,星期二,1,93,25,13,55,20318,90
黄金吧,2020/6/3,15:00-9:00,星期三,0,256,66,47,143,50255,213
黄金吧,2020/6/3,9:00-15:00,星期三,1,80,23,11,46,20021,94
黄金吧,2020/6/4,15:00-9:00,星期四,0,436,89,77,270,69112,255
黄金吧,2020/6/4,9:00-15:00,星期四,1,74,15,10,49,13921,53
黄金吧,2020/6/5,15:00-9:00,星期五,0,240,57,36,147,46360,210
黄金吧,2020/6/5,9:00-15:00,星期五,1,80,19,9,52,17110,85
黄金吧,2020/6/5,15:00-24:00,星期五,0,320,41,79,200,52472,161
黄金吧,2020/6/6,0:00-24:00,星期六,0,95,18,15,62,33984,110
黄金吧,2020/6/7,0:00-24:00,星期日,0,30,7,4,19,17214,61
黄金吧,2020/6/8,0:00-9:00,星期一,0,74,11,26,37,23798,107
黄金吧,2020/6/8,9:00-15:00,星期一,1,71,16,6,49,17409,35
黄金吧,2020/6/9,15:00-9:00,星期二,0,162,31,22,109,31329,200
黄金吧,2020/6/9,9:00-15:00,星期二,1,77,17,8,52,15231,62
黄金吧,2020/6/10,15:00-9:00,星期三,0,261,80,41,140,53933,309
黄金吧,2020/6/10,9:00-15:00,星期三,1,79,29,2,48,17486,60
黄金吧,2020/6/11,15:00-9:00,星期四,0,257,75,32,150,48762,287
黄金吧,2020/6/11,9:00-15:00,星期四,1,91,29,7,55,20337,69
黄金吧,2020/6/12,15:00-9:00,星期五,0,339,104,50,185,45050,209
黄金吧,2020/6/12,9:00-15:00,星期五,1,77,18,6,53,14101,62
黄金吧,2020/6/12,15:00-24:00,星期五,0,194,60,30,104,22957,114
黄金吧,2020/6/13,0:00-24:00,星期六,0,43,12,4,27,11283,33
黄金吧,2020/6/14,0:00-24:00,星期日,0,24,9,1,14,6557,4
黄金吧,2020/6/15,0:00-9:00,星期一,0,22,3,2,17,6048,23
黄金吧,2020/6/15,9:00-15:00,星期一,1,110,23,19,68,21277,54
黄金吧,2020/6/16,15:00-9:00,星期二,0,319,69,52,198,47917,190
黄金吧,2020/6/16,9:00-15:00,星期二,1,73,23,7,43,17176,59
黄金吧,2020/6/17,15:00-9:00,星期三,0,178,41,20,117,32472,99
黄金吧,2020/6/17,9:00-15:00,星期三,1,66,20,5,41,13756,59
黄金吧,2020/6/18,15:00-9:00,星期四,0,185,41,22,122,29939,154
黄金吧,2020/6/18,9:00-15:00,星期四,1,66,21,7,38,13825,40
黄金吧,2020/6/19,15:00-9:00,星期五,0,265,61,47,157,33837,213
黄金吧,2020/6/19,9:00-15:00,星期五,1,75,20,7,48,14139,26
黄金吧,2020/6/19,15:00-24:00,星期五,0,191,46,33,112,17879,84
黄金吧,2020/6/20,0:00-24:00,星期六,0,45,17,2,26,13664,50
黄金吧,2020/6/21,0:00-24:00,星期日,0,26,11,4,11,7413,32
黄金吧,2020/6/22,0:00-9:00,星期一,0,35,6,9,20,10081,48
黄金吧,2020/6/22,9:00-15:00,星期一,1,126,46,15,65,24118,109
黄金吧,2020/6/23,15:00-9:00,星期二,0,302,87,50,165,44069,324
黄金吧,2020/6/23,9:00-15:00,星期二,1,81,29,9,43,15309,84
黄金吧,2020/6/24,15:00-9:00,星期三,0,334,94,47,193,32272,172
黄金吧,2020/6/24,9:00-15:00,星期三,1,99,38,16,45,13541,61
黄金吧,2020/6/25,15:00-9:00,星期四,0,284,76,50,158,38392,239
黄金吧,2020/6/25,9:00-15:00,星期四,1,60,14,7,39,16070,44
黄金吧,2020/6/26,15:00-9:00,星期五,0,149,50,24,75,34937,185
黄金吧,2020/6/26,9:00-15:00,星期五,1,52,10,7,35,16187,43
黄金吧,2020/6/26,15:00-24:00,星期五,0,184,52,33,99,36681,173
黄金吧,2020/6/27,0:00-24:00,星期六,0,77,26,9,42,20546,74
黄金吧,2020/6/28,0:00-24:00,星期日,0,50,25,4,21,18762,82
黄金吧,2020/6/29,0:00-9:00,星期一,0,34,9,7,18,7593,47
黄金吧,2020/6/29,9:00-15:00,星期一,1,84,27,5,52,14730,48
黄金吧,2020/6/30,15:00-9:00,星期二,0,201,55,24,122,24196,101
黄金吧,2020/6/30,9:00-15:00,星期二,1,81,19,6,56,12715,69
黄金吧,2020/7/1,15:00-9:00,星期三,0,354,108,51,195,31218,114
黄金吧,2020/7/1,9:00-15:00,星期三,1,97,24,12,61,16312,57
黄金吧,2020/7/2,15:00-9:00,星期四,0,353,86,65,202,41913,212
黄金吧,2020/7/2,9:00-15:00,星期四,1,52,13,4,35,17508,74
黄金吧,2020/7/3,15:00-9:00,星期五,0,323,75,63,185,41908,196
