观测序号_nobs,Date,Close_Price
77082,2021-03-08,358.95
77083,2021-03-09,357.75
77084,2021-03-10,361.07
77085,2021-03-11,364.91
77086,2021-03-12,359.62
77087,2021-03-15,362.88
77088,2021-03-16,363.26
77089,2021-03-17,364.7
77090,2021-03-18,366.79
77091,2021-03-19,366.64
77092,2021-03-22,364.4
77093,2021-03-23,366.2
77094,2021-03-24,364.59
77095,2021-03-25,365.68
77096,2021-03-26,365.1
77097,2021-03-29,365.4
77098,2021-03-30,360.66
77099,2021-03-31,356.79
77100,2021-04-01,364.49
77101,2021-04-02,368.04
77102,2021-04-06,366.39
77103,2021-04-07,368.14
77104,2021-04-08,369.2
77105,2021-04-09,370.15
77106,2021-04-12,368.62
77107,2021-04-13,365.59
77108,2021-04-14,368.6
77109,2021-04-15,368.52
77110,2021-04-16,371.8
77111,2021-04-19,374.7
77112,2021-04-20,371.44
77113,2021-04-21,374.65
77114,2021-04-22,375.2
77115,2021-04-23,373.81
77116,2021-04-26,372.83
77117,2021-04-27,372.97
77118,2021-04-28,370
77119,2021-04-29,372.44
77120,2021-04-30,370.97
77121,2021-05-06,375.35
77122,2021-05-07,379.82
77123,2021-05-10,380.7
77124,2021-05-11,380.7
77125,2021-05-12,381.29
77126,2021-05-13,379.41
77127,2021-05-14,381.13
77128,2021-05-17,385.57
77129,2021-05-18,388.2
77130,2021-05-19,388.83
77131,2021-05-20,389.14
77132,2021-05-21,389.4
77133,2021-05-24,390.8
77134,2021-05-25,389.68
77135,2021-05-26,393.2
77136,2021-05-27,390.5
77137,2021-05-28,388.82
77138,2021-05-31,391.1
77139,2021-06-01,393.5
77140,2021-06-02,387.97
77141,2021-06-03,385.44
77142,2021-06-04,382.51
77143,2021-06-07,384.29
77144,2021-06-08,385.3
77145,2021-06-09,386
77146,2021-06-10,384.73
77147,2021-06-11,388.01
77148,2021-06-15,381.99
77149,2021-06-16,381.09
77150,2021-06-17,374
77151,2021-06-18,371
77152,2021-06-21,370.58
77153,2021-06-22,371.56
77154,2021-06-23,371.93
77155,2021-06-24,370.35
77156,2021-06-25,370.74
77157,2021-06-28,371.16
77158,2021-06-29,369.29
77159,2021-06-30,365.82
77160,2021-07-01,370.26
77161,2021-07-02,371.09
77162,2021-07-05,372.5
77163,2021-07-06,375.99
77164,2021-07-07,375.39
77165,2021-07-08,376
77166,2021-07-09,376.69
77167,2021-07-12,375.62
77168,2021-07-13,376.87
77169,2021-07-14,377.71
77170,2021-07-15,380.5
77171,2021-07-16,379.24
77172,2021-07-19,376.5
77173,2021-07-20,378.48
77174,2021-07-21,377.03
77175,2021-07-22,375.01
77176,2021-07-23,376.37
77177,2021-07-26,377.68
77178,2021-07-27,376.49
77179,2021-07-28,377.94
77180,2021-07-29,378.78
77181,2021-07-30,380.9
77182,2021-08-02,376.25
77183,2021-08-03,376.91
77184,2021-08-04,377.46
77185,2021-08-05,376.75
77186,2021-08-06,374.73
77187,2021-08-09,365.44
77188,2021-08-10,363.5
77189,2021-08-11,362.37
77190,2021-08-12,366.8
77191,2021-08-13,367.69
77192,2021-08-16,371.14
77193,2021-08-17,374.7
77194,2021-08-18,374.2
77195,2021-08-19,372.87
77196,2021-08-20,374.39
77197,2021-08-23,373.66
77198,2021-08-24,376.44
77199,2021-08-25,374.4
77200,2021-08-26,373.27
77201,2021-08-27,376.39
77202,2021-08-30,377.5
77203,2021-08-31,377.55
77204,2021-09-01,377.38
77205,2021-09-02,377.29
77206,2021-09-03,376.95
77207,2021-09-06,379.43
77208,2021-09-07,378.5
77209,2021-09-08,374.85
77210,2021-09-09,373.17
77211,2021-09-10,374.09
77212,2021-09-13,372.95
77213,2021-09-14,373
77214,2021-09-15,374.1
77215,2021-09-16,371.09
77216,2021-09-17,367.73
77217,2021-09-22,372.23
77218,2021-09-23,368.54
77219,2021-09-24,366.69
77220,2021-09-27,367.74
77221,2021-09-28,364.62
77222,2021-09-29,363.64
77223,2021-09-30,362.14
77224,2021-10-08,365.9
77225,2021-10-11,365.15
77226,2021-10-12,367.37
77227,2021-10-13,367.16
77228,2021-10-14,371.99
77229,2021-10-15,371.09
77230,2021-10-18,366.36
77231,2021-10-19,367.87
77232,2021-10-20,366.64
77233,2021-10-21,368.2
77234,2021-10-22,369.89
77235,2021-10-25,369.5
77236,2021-10-26,370.45
77237,2021-10-27,367.49
77238,2021-10-28,371.67
77239,2021-10-29,370.19
77240,2021-11-01,368.58
77241,2021-11-02,370.23
77242,2021-11-03,367.35
77243,2021-11-04,366.4
77244,2021-11-05,370.89
77245,2021-11-08,374.61
77246,2021-11-09,375.89
77247,2021-11-10,375.67
77248,2021-11-11,382.2
77249,2021-11-12,382.15
77250,2021-11-15,380.68
77251,2021-11-16,382.39
77252,2021-11-17,381.7
77253,2021-11-18,382.5
77254,2021-11-19,382.68
77255,2021-11-22,378.51
77256,2021-11-23,372.48
77257,2021-11-24,369.89
77258,2021-11-25,369.78
77259,2021-11-26,372.18
77260,2021-11-29,369.44
77261,2021-11-30,368.51
77262,2021-12-01,367.32
77263,2021-12-02,365.55
77264,2021-12-03,365.16
77265,2021-12-06,367.99
77266,2021-12-07,367.47
77267,2021-12-08,367.73
77268,2021-12-09,366.67
77269,2021-12-10,365.85
77270,2021-12-13,367.52
77271,2021-12-14,367.63
77272,2021-12-15,363.94
77273,2021-12-16,367.35
77274,2021-12-17,371.99
77275,2021-12-20,371
77276,2021-12-21,368.9
77277,2021-12-22,367.8
77278,2021-12-23,371.82
77279,2021-12-24,372.69
77280,2021-12-27,372.27
77281,2021-12-28,373.55
77282,2021-12-29,371.61
77283,2021-12-30,369.79
77284,2021-12-31,373.85
77285,2022-01-04,371.3
77286,2022-01-05,372.84
77287,2022-01-06,370.84
77288,2022-01-07,368.37
77289,2022-01-10,368.87
77290,2022-01-11,372.06
77291,2022-01-12,373.31
77292,2022-01-13,374.29
77293,2022-01-14,374.18
77294,2022-01-17,372.89
77295,2022-01-18,371.64
77296,2022-01-19,371.8
77297,2022-01-20,376.39
77298,2022-01-21,376.64
77299,2022-01-24,375.72
77300,2022-01-25,376.34
77301,2022-01-26,376.67
77302,2022-01-27,370.28
77303,2022-01-28,369.04
77304,2022-02-07,371.35
77305,2022-02-08,373.11
77306,2022-02-09,374.87
77307,2022-02-10,375.7
77308,2022-02-11,373.84
77309,2022-02-14,379.9
77310,2022-02-15,384.04
77311,2022-02-16,378.94
77312,2022-02-17,382.29
77313,2022-02-18,385.47
77314,2022-02-21,385.28
77315,2022-02-22,390.44
77316,2022-02-23,386.41
77317,2022-02-24,395.14
77318,2022-02-25,389.61
77319,2022-02-28,386.7
77320,2022-03-01,387.9
77321,2022-03-02,394.67
77322,2022-03-03,391.95
77323,2022-03-04,393.99
77324,2022-03-07,401.5
77325,2022-03-08,409.96
77326,2022-03-09,415.11
77327,2022-03-10,402.1
77328,2022-03-11,403.6
77329,2022-03-14,400.69
77330,2022-03-15,393.7
77331,2022-03-16,391.31
77332,2022-03-17,394.09
77333,2022-03-18,395.64
77334,2022-03-21,393.66
77335,2022-03-22,396.25
77336,2022-03-23,393.81
77337,2022-03-24,398
77338,2022-03-25,400
77339,2022-03-28,396.5
77340,2022-03-29,394
77341,2022-03-30,393.84
77342,2022-03-31,394.14
77343,2022-04-01,395.2
77344,2022-04-06,393.2
77345,2022-04-07,394.3
77346,2022-04-08,395.12
77347,2022-04-11,398.39
77348,2022-04-12,400.28
77349,2022-04-13,401.91
77350,2022-04-14,403.41
77351,2022-04-15,404.48
77352,2022-04-18,406.82
77353,2022-04-19,404.81
77354,2022-04-20,399.86
77355,2022-04-21,403.7
77356,2022-04-22,405.74
77357,2022-04-25,403.98
77358,2022-04-26,400.17
77359,2022-04-27,400.64
77360,2022-04-28,399.95
77361,2022-04-29,405.2
77362,2022-05-05,402.69
77363,2022-05-06,403
77364,2022-05-09,403.8
77365,2022-05-10,402.36
77366,2022-05-11,400.35
77367,2022-05-12,402.69
77368,2022-05-13,398.95
77369,2022-05-16,396.26
77370,2022-05-17,397.18
77371,2022-05-18,394.78
77372,2022-05-19,394.86
77373,2022-05-20,396.61
77374,2022-05-23,398.23
77375,2022-05-24,399.31
77376,2022-05-25,399.36
77377,2022-05-26,400.87
77378,2022-05-27,402.5
77379,2022-05-30,399.09
77380,2022-05-31,398.35
77381,2022-06-01,395.62
77382,2022-06-02,398.22
77383,2022-06-06,397
77384,2022-06-07,396.31
77385,2022-06-08,397
77386,2022-06-09,398.29
77387,2022-06-10,397.19
77388,2022-06-13,403.02
77389,2022-06-14,396.48
77390,2022-06-15,394.34
77391,2022-06-16,395.2
77392,2022-06-17,398.09
77393,2022-06-20,396.69
77394,2022-06-21,395.46
77395,2022-06-22,395.91
77396,2022-06-23,396.08
77397,2022-06-24,393.85
77398,2022-06-27,396.11
77399,2022-06-28,393.87
77400,2022-06-29,392.68
77401,2022-06-30,391.7
77402,2022-07-01,388.42
77403,2022-07-04,390.59
77404,2022-07-05,390.01
77405,2022-07-06,382.64
77406,2022-07-07,377.29
77407,2022-07-08,376.19
77408,2022-07-11,376.5
77409,2022-07-12,377.27
77410,2022-07-13,374.7
77411,2022-07-14,374.29
77412,2022-07-15,371.89
77413,2022-07-18,374
77414,2022-07-19,372.43
77415,2022-07-20,372.4
77416,2022-07-21,369.57
77417,2022-07-22,375.68
77418,2022-07-25,377.08
77419,2022-07-26,377.18
77420,2022-07-27,376.07
77421,2022-07-28,379.5
77422,2022-07-29,383.96
77423,2022-08-01,385.13
77424,2022-08-02,387.16
77425,2022-08-03,385.58
77426,2022-08-04,387.05
77427,2022-08-05,390.19
77428,2022-08-08,388.02
77429,2022-08-09,389.32
77430,2022-08-10,390.27
77431,2022-08-11,388.7
77432,2022-08-12,390.17
77433,2022-08-15,390.64
77434,2022-08-16,390.27
77435,2022-08-17,388.72
77436,2022-08-18,387.2
77437,2022-08-19,386.13
77438,2022-08-22,385.07
77439,2022-08-23,387.33
77440,2022-08-24,388.88
77441,2022-08-25,390.04
77442,2022-08-26,390.47
77443,2022-08-29,387.5
77444,2022-08-30,388.9
