Scode,Coname,Date,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
600766,园城黄金,2020-11-21,7,1,1,5,2786,15
600766,园城黄金,2020-11-22,11,2,3,6,3344,25
600766,园城黄金,2020-11-23,27,9,8,10,5177,23
600766,园城黄金,2020-11-24,33,7,8,18,8238,59
600766,园城黄金,2020-11-25,34,12,6,16,5698,24
600766,园城黄金,2020-11-26,58,16,9,33,10647,65
600766,园城黄金,2020-11-27,48,11,12,25,7902,26
600766,园城黄金,2020-11-28,9,3,0,6,1785,9
600766,园城黄金,2020-11-29,13,2,4,7,3485,13
600766,园城黄金,2020-11-30,51,10,13,28,8894,38
600766,园城黄金,2020-12-01,39,8,8,23,8498,90
600766,园城黄金,2020-12-02,35,11,5,19,6597,39
600766,园城黄金,2020-12-03,28,7,6,15,5431,25
600766,园城黄金,2020-12-04,25,9,7,9,3991,11
600766,园城黄金,2020-12-05,9,3,0,6,1919,4
600766,园城黄金,2020-12-06,4,0,0,4,826,4
600766,园城黄金,2020-12-07,32,6,8,18,5902,25
600766,园城黄金,2020-12-08,23,7,1,15,4713,16
600766,园城黄金,2020-12-09,35,13,12,10,5658,31
600766,园城黄金,2020-12-10,41,12,6,23,7061,43
600766,园城黄金,2020-12-11,74,14,24,36,10745,76
600766,园城黄金,2020-12-12,12,5,2,5,2822,20
600766,园城黄金,2020-12-13,9,1,1,7,1824,7
600766,园城黄金,2020-12-14,79,9,24,46,16615,125
600766,园城黄金,2020-12-15,99,18,25,56,21079,106
600766,园城黄金,2020-12-16,121,17,29,75,23893,115
600766,园城黄金,2020-12-17,123,21,33,69,22115,115
600766,园城黄金,2020-12-18,49,10,16,23,11205,47
600766,园城黄金,2020-12-19,7,1,2,4,1792,7
600766,园城黄金,2020-12-20,4,2,0,2,1027,3
600766,园城黄金,2020-12-21,31,4,4,23,6426,31
600766,园城黄金,2020-12-22,30,6,9,15,7531,56
600766,园城黄金,2020-12-23,31,11,5,15,6154,30
600766,园城黄金,2020-12-24,74,11,32,31,13331,54
600766,园城黄金,2020-12-25,38,9,5,24,6855,20
600766,园城黄金,2020-12-26,2,1,0,1,553,0
600766,园城黄金,2020-12-27,10,1,2,7,1815,8
600766,园城黄金,2020-12-28,30,5,6,19,5314,39
600766,园城黄金,2020-12-29,20,9,4,7,4005,22
600766,园城黄金,2020-12-30,34,8,8,18,6345,34
600766,园城黄金,2020-12-31,26,8,8,10,4719,13
600988,赤峰黄金,2020-01-01,26,5,2,19,21217,42
600988,赤峰黄金,2020-01-02,164,54,24,86,67516,165
600988,赤峰黄金,2020-01-03,270,81,43,146,118472,288
600988,赤峰黄金,2020-01-04,37,11,2,24,38523,68
600988,赤峰黄金,2020-01-05,57,19,5,33,56190,149
600988,赤峰黄金,2020-01-06,487,138,81,268,273712,430
600988,赤峰黄金,2020-01-07,373,132,60,181,170984,348
600988,赤峰黄金,2020-01-08,1083,307,199,577,453472,1111
600988,赤峰黄金,2020-01-09,819,163,206,450,375176,655
600988,赤峰黄金,2020-01-10,436,110,129,197,172704,363
600988,赤峰黄金,2020-01-11,50,11,4,35,60595,129
600988,赤峰黄金,2020-01-12,41,15,2,24,41708,107
600988,赤峰黄金,2020-01-13,249,64,53,132,120295,426
600988,赤峰黄金,2020-01-14,304,101,58,145,159623,457
600988,赤峰黄金,2020-01-15,383,87,92,204,183224,424
600988,赤峰黄金,2020-01-16,385,74,94,217,258987,562
600988,赤峰黄金,2020-01-17,320,88,58,174,180325,256
600988,赤峰黄金,2020-01-18,43,12,6,25,61187,75
600988,赤峰黄金,2020-01-19,16,8,1,7,29344,36
600988,赤峰黄金,2020-01-20,159,54,25,80,88164,196
600988,赤峰黄金,2020-01-21,188,65,33,90,105757,274
600988,赤峰黄金,2020-01-22,223,66,46,111,120335,189
600988,赤峰黄金,2020-01-23,247,86,25,136,199601,258
600988,赤峰黄金,2020-01-24,21,9,1,11,44540,30
600988,赤峰黄金,2020-01-25,20,9,3,8,47327,34
600988,赤峰黄金,2020-01-26,13,1,1,11,38353,60
600988,赤峰黄金,2020-01-27,25,8,3,14,51599,67
600988,赤峰黄金,2020-01-28,13,2,0,11,37353,46
600988,赤峰黄金,2020-01-29,12,1,2,9,26391,21
600988,赤峰黄金,2020-01-30,26,7,1,18,46647,31
600988,赤峰黄金,2020-01-31,17,2,0,15,34934,36
600988,赤峰黄金,2020-02-01,34,6,1,27,64991,80
600988,赤峰黄金,2020-02-02,56,11,9,36,73800,114
600988,赤峰黄金,2020-02-03,444,149,80,215,222379,442
600988,赤峰黄金,2020-02-04,204,60,37,107,203422,501
600988,赤峰黄金,2020-02-05,430,106,83,241,252052,441
600988,赤峰黄金,2020-02-06,363,111,65,187,205278,388
600988,赤峰黄金,2020-02-07,432,116,75,241,269540,648
600988,赤峰黄金,2020-02-08,58,16,7,35,101032,182
600988,赤峰黄金,2020-02-09,50,15,3,32,96678,274
600988,赤峰黄金,2020-02-10,598,215,88,295,314563,652
600988,赤峰黄金,2020-02-11,571,153,129,289,421096,932
600988,赤峰黄金,2020-02-12,376,112,69,195,264782,651
600988,赤峰黄金,2020-02-13,432,146,61,225,269342,614
600988,赤峰黄金,2020-02-14,405,106,85,214,236177,505
600988,赤峰黄金,2020-02-15,57,22,4,31,101701,267
600988,赤峰黄金,2020-02-16,56,17,5,34,108586,314
600988,赤峰黄金,2020-02-17,330,102,56,172,260804,556
600988,赤峰黄金,2020-02-18,460,146,70,244,285914,918
600988,赤峰黄金,2020-02-19,674,202,105,367,477076,836
600988,赤峰黄金,2020-02-20,493,165,86,242,351509,833
600988,赤峰黄金,2020-02-21,836,263,111,462,564435,1064
600988,赤峰黄金,2020-02-22,96,38,11,47,160217,301
600988,赤峰黄金,2020-02-23,111,28,12,71,168521,382
600988,赤峰黄金,2020-02-24,867,264,118,485,508563,1023
600988,赤峰黄金,2020-02-25,894,225,172,497,465234,898
600988,赤峰黄金,2020-02-26,668,189,129,350,239633,696
600988,赤峰黄金,2020-02-27,899,304,136,459,423648,947
